file,time,memory,fixed,moving,error
ants-benchmark.o693364.1,,30963808,0.3,0.3,Description: itk::ERROR: MultiThreader(0x51fe750): Exception occurred during SingleMethodExecute Description: itk::ERROR: MultiThreader(0x51fe1f0): Exception occurred during SingleMethodExecute Description: itk::ERROR: MultiThreader(0x51fe1f0): Exception occurred during SingleMethodExecute
ants-benchmark.o693364.10,3968,11497660,1,0.3,
ants-benchmark.o693364.100,,30612388,0.3,1,itk::MemoryAllocationError (0x7fbdec000940) itk::MemoryAllocationError (0x7fbdec087320)
ants-benchmark.o693364.101,,31803788,0.4,1,Description: itk::ERROR: SyNImageRegistrationMethod(0x52426d0): Caught exception: /opt/quarantine/ANTs/git/src/build/ITKv4-install/include/ITK-4.10/itkImportImageContainer.hxx:199:
ants-benchmark.o693364.102,2.965e+04,23912396,0.5,1,
ants-benchmark.o693364.103,1.787e+04,13940356,0.6,1,
ants-benchmark.o693364.104,8920,7354388,0.75,1,
ants-benchmark.o693364.105,1.086e+04,8941240,0.7,1,
ants-benchmark.o693364.106,7946,6167452,0.8,1,
ants-benchmark.o693364.107,5480,4384308,0.9,1,
ants-benchmark.o693364.108,1264,1184036,1.5,1,
ants-benchmark.o693364.109,3977,3303488,1,1,
ants-benchmark.o693364.11,888.6,10321404,2,0.3,
ants-benchmark.o693364.110,534.1,651464,2,1,
ants-benchmark.o693364.111,,30280208,0.3,2,itk::MemoryAllocationError (0x7f9a3c000940)
ants-benchmark.o693364.112,,31644088,0.4,2,Description: itk::ERROR: SyNImageRegistrationMethod(0x3f9cbd0): Caught exception: /opt/quarantine/ANTs/git/src/build/ITKv4-install/include/ITK-4.10/itkImportImageContainer.hxx:199:
ants-benchmark.o693364.113,2.971e+04,23706716,0.5,2,
ants-benchmark.o693364.114,1.821e+04,13740332,0.6,2,
ants-benchmark.o693364.115,8923,7102768,0.75,2,
ants-benchmark.o693364.116,1.084e+04,8753400,0.7,2,
ants-benchmark.o693364.117,7989,5965444,0.8,2,
ants-benchmark.o693364.118,5300,4187640,0.9,2,
ants-benchmark.o693364.119,1103,962988,1.5,2,
