file,time,memory,fixed,moving,error
logs/ants-benchmark.o693364.1,,30963808,202217000,180539778,Description: itk::ERROR: MultiThreader(0x51fe750): Exception occurred during SingleMethodExecute Description: itk::ERROR: MultiThreader(0x51fe1f0): Exception occurred during SingleMethodExecute Description: itk::ERROR: MultiThreader(0x51fe1f0): Exception occurred during SingleMethodExecute
logs/ants-benchmark.o693364.10,3968,11497660,5502900,180539778,
logs/ants-benchmark.o693364.100,,30612388,202217000,4905537,itk::MemoryAllocationError (0x7fbdec000940) itk::MemoryAllocationError (0x7fbdec087320)
logs/ants-benchmark.o693364.101,,31803788,85749375,4905537,Description: itk::ERROR: SyNImageRegistrationMethod(0x52426d0): Caught exception: /opt/quarantine/ANTs/git/src/build/ITKv4-install/include/ITK-4.10/itkImportImageContainer.hxx:199:
logs/ants-benchmark.o693364.102,2.965e+04,23912396,43791300,4905537,
logs/ants-benchmark.o693364.103,1.787e+04,13940356,25323000,4905537,
logs/ants-benchmark.o693364.104,8920,7354388,12994800,4905537,
logs/ants-benchmark.o693364.105,1.086e+04,8941240,16050825,4905537,
logs/ants-benchmark.o693364.106,7946,6167452,10792704,4905537,
logs/ants-benchmark.o693364.107,5480,4384308,7528360,4905537,
logs/ants-benchmark.o693364.108,1264,1184036,1631700,4905537,
logs/ants-benchmark.o693364.109,3977,3303488,5502900,4905537,
logs/ants-benchmark.o693364.11,888.6,10321404,690975,180539778,
logs/ants-benchmark.o693364.110,534.1,651464,690975,4905537,
logs/ants-benchmark.o693364.111,,30280208,202217000,624264,itk::MemoryAllocationError (0x7f9a3c000940)
logs/ants-benchmark.o693364.112,,31644088,85749375,624264,Description: itk::ERROR: SyNImageRegistrationMethod(0x3f9cbd0): Caught exception: /opt/quarantine/ANTs/git/src/build/ITKv4-install/include/ITK-4.10/itkImportImageContainer.hxx:199:
logs/ants-benchmark.o693364.113,2.971e+04,23706716,43791300,624264,
logs/ants-benchmark.o693364.114,1.821e+04,13740332,25323000,624264,
logs/ants-benchmark.o693364.115,8923,7102768,12994800,624264,
logs/ants-benchmark.o693364.116,1.084e+04,8753400,16050825,624264,
logs/ants-benchmark.o693364.117,7989,5965444,10792704,624264,
logs/ants-benchmark.o693364.118,5300,4187640,7528360,624264,
logs/ants-benchmark.o693364.119,1103,962988,1631700,624264,
logs/ants-benchmark.o693364.12,,30685168,202217000,76438026,Description: itk::ERROR: MultiThreader(0x4c93220): Exception occurred during SingleMethodExecute itk::MemoryAllocationError (0x7f7e58000940)
logs/ants-benchmark.o693364.120,3872,3066660,5502900,624264,
logs/ants-benchmark.o693364.121,479.1,467572,690975,624264,
logs/ants-benchmark.o693364.13,,30603392,85749375,76438026,Description: itk::ERROR: SyNImageRegistrationMethod(0x3d72080): Caught exception: /opt/quarantine/ANTs/git/src/build/ITKv4-install/include/ITK-4.10/itkImportImageContainer.hxx:199:
logs/ants-benchmark.o693364.14,2.67e+04,27259028,43791300,76438026,
logs/ants-benchmark.o693364.15,1.683e+04,17306764,25323000,76438026,
logs/ants-benchmark.o693364.16,8022,10651384,12994800,76438026,
logs/ants-benchmark.o693364.17,9966,12301984,16050825,76438026,
